model,target,n_features,test_R²,test_RMSE,test_MAE,CV_R²
integrity_risk_quality,integrity_risk_score,4,1.0,7.915612475190917e-17,5.736152293896643e-17,1.0
integrity_risk_all,integrity_risk_score,8,1.0,2.783871781568655e-16,2.0539125955565397e-16,1.0
over_rate_all,over_rate,8,0.9574539715904153,0.012223388676056155,0.010306225052639761,0.959410560221067
over_rate_ridge,over_rate,8,0.9553813442675035,0.012517579247730982,0.010555307010333513,0.9606375691521054
over_rate_quality,over_rate,4,0.816024838285202,0.02541801931358745,0.02198731402803974,0.8440723095545353
retire_rate_quality,retire_rate,4,-0.13088337326154886,0.01762881600156372,0.01378519350357324,-0.12021479386773733
retire_rate_all,retire_rate,8,-0.5247104065681605,0.020469532201973353,0.01654436242574572,-0.2268336238655956
