feature,coefficient,abs_coefficient
buffer_contribution_rate,5.66408092659952,5.66408092659952
permanence_risk,-5.50666317825282,5.50666317825282
leakage_rate,-0.8315543738377128,0.8315543738377128
baseline_tCO2,-0.0032863093011989203,0.0032863093011989203
area_ha,-0.0017542707936740937,0.0017542707936740937
additionality_score,-0.0014527081371200545,0.0014527081371200545
mrv_quality,-0.0011691881335040115,0.0011691881335040115
verification_frequency_months,0.0006405483601007461,0.0006405483601007461
